,Jan_p,Feb_p,Mar_p,Apr_p,May_p,Jun_p,Jul_p,Aug_p,Sep_p,Oct_p,Nov_p,Dec_p,Feb_t,Mar_t,Apr_t,May_t,Jun_t,Jul_t,Aug_t,Sep_t,Oct_t,Nov_t,Dec_t,Feb_soi,Mar_soi,Apr_soi,May_soi,Jun_soi,Jul_soi,Aug_soi,Sep_soi,Oct_soi,Nov_soi,Dec_soi,FIPS,snow
0,3.4151113053613056,1.3727191142191144,0.8558053613053614,2.024667332667333,2.14150888000888,0.18945843045843044,1.852643967143967,0.996189948939949,1.1078255633255634,2.4974059274059273,0.9822208624708626,0.8407271062271062,29.665823851664555,35.77016129032259,36.86666666666666,43.45295698924731,56.20218253968254,60.75076804915514,57.49308755760369,51.554761904761904,39.54838709677419,35.03095238095238,24.96505376344086,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,-0.1,08037,61.1859854034854
1,3.8954227011961433,1.7311063305496945,1.3740909718301022,2.878707575097163,3.007520750988142,0.49147842168002354,2.270579550159985,1.6356504814026556,1.2418185493183473,2.3565383110181872,1.8148286694617357,1.85021645599506,26.346264813952285,32.950481041312955,34.504142300194935,41.205677064260904,52.441666666666656,57.46868515374458,53.369711042311664,48.65121832358675,36.29767968307866,32.65852826510721,21.14794101002031,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,-0.1,08049,93.0544787459889
2,6.934364152917945,2.6862013201647064,1.160163463471513,1.6547863824678337,1.6766873231818211,0.1528980422069667,2.9545464798359538,1.8023208333746097,1.4805952413001815,1.3226593377382851,1.4507281444718516,0.886638282168468,24.390790625303904,31.04095769821576,34.91767676767677,42.39037575327897,54.26773504273505,58.07230001181614,54.51218539524991,49.95660866910867,39.39651343280375,33.580661005661014,23.00171334042302,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,-0.1,08051,112.33686996214101
3,4.484761904761904,1.586666666666667,1.4866666666666668,1.51,1.783333333333333,0.20666666666666667,4.554523809523809,1.5190476190476192,2.134047619047619,0.5014285714285714,0.8385714285714286,0.39714285714285713,25.539823008849556,32.416666666666664,34.93769841269842,41.20622119815669,54.13095238095239,55.85752688172043,52.79569892473116,48.32777777777778,40.46505376344086,34.58055555555555,25.750000000000004,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,-0.1,08053,82.62857142857143
4,6.171428571428572,3.301130952380952,1.4332142857142858,3.5240476190476193,3.1219047619047617,0.3261666666666667,1.386384920634921,1.6664920634920635,1.9998928571428571,2.6795198412698418,2.821488095238095,1.9922023809523812,25.366624525916563,32.34861751152074,33.30823412698413,40.550979262672804,52.1157738095238,57.517089093702,53.56739631336406,47.80704365079365,34.85147849462366,32.33412698412698,21.197196620583718,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,-0.1,08057,154.75583333333333
5,3.902845238095238,1.5143690476190477,0.7418809523809524,1.975714285714286,2.1942976190476187,0.11825000000000001,3.188214285714285,1.815107142857143,1.4941309523809523,1.740142857142857,1.6263809523809527,1.7025952380952385,23.660176991150443,29.906451612903226,31.226666666666667,38.53225806451613,50.95666666666667,53.44758064516129,50.46290322580645,45.983333333333334,36.441935483870964,31.72333333333334,21.45806451612903,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,-0.1,08065,104.58289682539683
6,5.136996333123395,1.5660880485323707,1.0326505139787747,1.2053553557817052,1.3801310244561371,0.1309013430694465,3.590585657760584,1.4969214368846935,1.677736266908225,0.2813029956463633,0.24188785980735372,0.14469791702550325,31.372485921158486,38.12463343108504,39.91712121212121,46.38885630498534,59.77848484848484,62.26994134897361,59.11810035842294,54.41111111111112,45.414467253176944,39.00883838383837,30.29982893450636,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,-0.1,08067,53.82979317604956
7,1.4555720635701728,0.7773271007696924,0.983874909024278,2.5610045392643235,4.709015455627131,0.3119022791968331,1.512081477296725,2.4966600321456958,2.126808980894866,1.743311231122023,0.9857880863030941,0.528023465156999,31.137247259602013,38.32732888896984,38.71006434069363,45.060252393702605,57.05512202773073,62.46295392312223,57.667774721771906,51.99367432084823,40.23528472462552,37.00040466779597,27.48617374911203,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,-0.1,08069,41.34997354746848
8,8.350999999999997,2.104285714285714,1.6542857142857144,1.7457142857142853,1.8649999999999998,0.2914285714285714,3.400333333333333,2.1254999999999997,3.350535714285715,0.3760714285714286,0.9809523809523811,0.4358333333333334,24.843067846607667,31.8247311827957,33.580555555555556,39.840860215053766,52.034920634920624,55.08986175115208,51.576036866359445,46.883333333333326,39.56605222734255,33.92380952380953,24.670890937019973,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,-0.1,08079,134.92440476190475
9,3.9189999999999996,1.2715,2.8819999999999997,1.6791666666666667,1.6483333333333334,0.27966666666666673,3.5623333333333336,1.3286666666666669,1.905166666666667,0.7521666666666668,0.9658333333333332,0.4963333333333333,31.952802359882003,37.10215053763441,39.72777777777778,45.43010752688172,58.91111111111112,61.704301075268816,58.602150537634394,53.472222222222214,43.016129032258064,38.777777777777786,27.73655913978494,-0.1,0.9,-0.2,0.3,-0.4,0.8,0.5,0.6,0.9,0.9,-0.1,08091,50.95666666666666
